Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
31-Aug-15,1986.73,1972.18,1986.73,1965.98,2425473792,-1,-16.69
1-Sep-15,1970.09,1913.85,1970.09,1903.07,2974714624,-1,-58.33
2-Sep-15,1916.52,1948.86,1948.91,1916.52,2409384960,1,35.01
3-Sep-15,1950.79,1951.13,1975.01,1944.72,2247854848,1,2.27
4-Sep-15,1947.76,1921.22,1947.76,1911.21,2220081152,-1,-29.91
8-Sep-15,1927.3,1969.41,1970.42,1927.3,2322879744,1,48.19
9-Sep-15,1971.45,1942.04,1988.63,1937.88,2345073920,-1,-27.37
10-Sep-15,1941.59,1952.29,1965.29,1937.19,2294763776,1,10.25
11-Sep-15,1951.45,1961.05,1961.05,1939.19,1980991232,1,8.76
14-Sep-15,1963.06,1953.03,1963.06,1948.27,1840277632,-1,-8.02
15-Sep-15,1955.1,1978.09,1983.19,1954.3,2076891264,1,25.06
16-Sep-15,1978.02,1995.31,1997.26,1977.93,2176764160,1,17.22
17-Sep-15,1995.33,1990.2,2020.86,1986.73,2652118016,-1,-5.11
18-Sep-15,1989.66,1958.03,1989.66,1953.45,3994890240,-1,-32.17
21-Sep-15,1960.84,1966.97,1979.64,1955.8,2016186112,1,8.94
22-Sep-15,1961.39,1942.74,1961.39,1929.22,2441443840,-1,-24.23
23-Sep-15,1943.24,1938.76,1949.52,1932.57,1871679232,-1,-3.98
24-Sep-15,1934.81,1932.24,1937.17,1908.92,2535710720,-1,-6.52
25-Sep-15,1935.93,1931.34,1952.89,1921.5,2388504064,-1,-0.9
28-Sep-15,1929.18,1881.77,1929.18,1879.21,2786087424,-1,-49.57
29-Sep-15,1881.9,1884.09,1899.48,1871.91,2628215040,1,2.32
30-Sep-15,1887.14,1920.03,1920.53,1887.14,2759742976,1,35.94
1-Oct-15,1919.65,1923.82,1927.21,1900.7,2528744448,1,3.79
2-Oct-15,1921.77,1951.36,1951.36,1893.7,2781112320,1,27.54
5-Oct-15,1954.33,1987.05,1989.17,1954.33,2658192384,1,35.69
6-Oct-15,1986.63,1979.92,1991.62,1971.99,2552658944,-1,-7.13
7-Oct-15,1982.34,1995.83,1999.31,1976.44,2702886912,1,15.91
8-Oct-15,1994.01,2013.43,2016.5,1987.53,2383713280,1,17.6
9-Oct-15,2013.73,2014.89,2020.13,2007.61,2243389440,1,1.46
12-Oct-15,2015.65,2017.46,2018.66,2010.55,1744710528,1,2.57
13-Oct-15,2015,2003.69,2022.34,2001.78,1947954560,-1,-13.77
14-Oct-15,2003.66,1994.24,2009.56,1990.73,2386468864,-1,-9.45
15-Oct-15,1996.47,2023.86,2024.15,1996.47,2401876992,1,29.62
16-Oct-15,2024.37,2033.11,2033.54,2020.46,2315198720,1,9.25
19-Oct-15,2031.73,2033.66,2034.45,2022.31,2060652288,1,0.55
20-Oct-15,2033.13,2030.77,2039.12,2026.61,2131033728,-1,-2.89
21-Oct-15,2033.47,2018.94,2037.97,2017.22,2332983296,-1,-11.83
22-Oct-15,2021.88,2052.51,2055.2,2021.88,2906838528,1,33.57
23-Oct-15,2058.19,2075.15,2079.74,2058.19,2705397760,1,22.64
26-Oct-15,2075.08,2071.18,2075.14,2066.53,2142498816,-1,-3.97
27-Oct-15,2068.75,2065.89,2070.37,2058.84,2434018560,-1,-5.29
28-Oct-15,2066.48,2090.35,2090.35,2063.11,2661935616,1,24.46
29-Oct-15,2088.35,2089.41,2092.52,2082.63,2241143296,-1,-0.94
